PERMIT #,CASE_TYPE,CASE_TYPE_DESC,SUB_TYPE,SUB_TYPE_DESC,CONSTRUCTION COST,Square Footage,STATUS_CODE,Date_Initiated,Date_Issued,TASK_CODE,TASK_DESC,RESULT_CODE,RESULT_DESC,Task_Complete_Date,dept,deltatask,postissuedtask,phase
2019071413,CACJ,Building Commercial - Fire Damage,CAA03R399,"Multifamily, Apt / Twnhome > 5 Unit Bldg",80001.0,1.0,DONE,2019-11-20,2019-12-10,WSUXCON,U&O Cross Connect Final Approval,IGNORE,No sign-off needed on this project,2020-11-18,ws,364.0,True,inspection
2019071418,CACJ,Building Commercial - Fire Damage,CAA03R399,"Multifamily, Apt / Twnhome > 5 Unit Bldg",80001.0,1.0,DONE,2019-11-20,2019-12-10,WSUXCON,U&O Cross Connect Final Approval,IGNORE,No sign-off needed on this project,2020-11-18,ws,364.0,True,inspection
2019049345,CACN,Building Commercial - New,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",566451.0,0.0,DONE,2019-08-16,2019-12-11,WSUXCON,U&O Cross Connect Final Approval,APPROVED,Approved,2020-08-21,ws,371.0,True,inspection
2019049345,CACN,Building Commercial - New,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",566451.0,0.0,DONE,2019-08-16,2019-12-11,WSUWTRAVL,U&O Water Availability Final Approval,IGNORE,No sign-off needed on this project,2020-09-15,ws,396.0,True,inspection
2019049345,CACN,Building Commercial - New,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",566451.0,0.0,DONE,2019-08-16,2019-12-11,WSEXCUTCAP,WS Existing Service Cut and Capped,,Not Applicable,2020-09-15,ws,396.0,True,inspection
2019049345,CACN,Building Commercial - New,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",566451.0,0.0,DONE,2019-08-16,2019-12-11,WSUSWRAVL,U&O Sewer Availability Final Approval,IGNORE,No sign-off needed on this project,2020-09-15,ws,396.0,True,inspection
2019049345,CACN,Building Commercial - New,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",566451.0,0.0,DONE,2019-08-16,2019-12-11,WSEXCUTCAP,WS Existing Service Cut and Capped,,Not Applicable,2020-09-15,ws,396.0,True,inspection
2019049345,CACN,Building Commercial - New,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",566451.0,0.0,DONE,2019-08-16,2019-12-11,WSUSWRAVL,U&O Sewer Availability Final Approval,IGNORE,No sign-off needed on this project,2020-09-15,ws,396.0,True,inspection
2019049345,CACN,Building Commercial - New,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",566451.0,0.0,DONE,2019-08-16,2019-12-11,WSUWTRAVL,U&O Water Availability Final Approval,IGNORE,No sign-off needed on this project,2020-09-15,ws,396.0,True,inspection
2019049345,CACN,Building Commercial - New,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",566451.0,0.0,DONE,2019-08-16,2019-12-11,WSUXCON,U&O Cross Connect Final Approval,APPROVED,Approved,2020-08-21,ws,371.0,True,inspection
2019042871,CACA,Building Commercial - Addition,CAH10S001,"Warehouse, Storage S-1",395328.0,4640.0,DONE,2019-07-19,2019-12-11,WSUXCON,U&O Cross Connect Final Approval,APPROVED,Approved,2020-07-31,ws,378.0,True,inspection
2019042871,CACA,Building Commercial - Addition,CAH10S001,"Warehouse, Storage S-1",395328.0,4640.0,DONE,2019-07-19,2019-12-11,WSEXCUTCAP,WS Existing Service Cut and Capped,,Not Applicable,2020-10-09,ws,448.0,True,inspection
2019042871,CACA,Building Commercial - Addition,CAH10S001,"Warehouse, Storage S-1",395328.0,4640.0,DONE,2019-07-19,2019-12-11,WSUWTRAVL,U&O Water Availability Final Approval,IGNORE,No sign-off needed on this project,2020-10-09,ws,448.0,True,inspection
2019042871,CACA,Building Commercial - Addition,CAH10S001,"Warehouse, Storage S-1",395328.0,4640.0,DONE,2019-07-19,2019-12-11,WSEXCUTCAP,WS Existing Service Cut and Capped,,Not Applicable,2020-10-09,ws,448.0,True,inspection
2019042871,CACA,Building Commercial - Addition,CAH10S001,"Warehouse, Storage S-1",395328.0,4640.0,DONE,2019-07-19,2019-12-11,WSUSWRAVL,U&O Sewer Availability Final Approval,IGNORE,No sign-off needed on this project,2020-10-09,ws,448.0,True,inspection
2019028427,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",215343.9,2270.0,DONE,2019-05-15,2019-12-11,WSUXCON,U&O Cross Connect Final Approval,IGNORE,No sign-off needed on this project,2021-03-11,ws,666.0,True,inspection
2019028427,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",215343.9,2270.0,DONE,2019-05-15,2019-12-11,WSUWTRAVL,U&O Water Availability Final Approval,APPROVED,Approved,2021-02-27,ws,654.0,True,inspection
2019028427,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",215343.9,2270.0,DONE,2019-05-15,2019-12-11,WSEXCUTCAP,WS Existing Service Cut and Capped,,Not Applicable,2021-02-27,ws,654.0,True,inspection
2019028427,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",215343.9,2270.0,DONE,2019-05-15,2019-12-11,WSUSWRAVL,U&O Sewer Availability Final Approval,APPROVED,Approved,2021-02-27,ws,654.0,True,inspection
2019028427,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",215343.9,2270.0,DONE,2019-05-15,2019-12-11,WSEXCUTCAP,WS Existing Service Cut and Capped,,Not Applicable,2021-02-27,ws,654.0,True,inspection
2019028474,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",215343.9,2270.0,DONE,2019-05-15,2019-12-11,WSUWTRAVL,U&O Water Availability Final Approval,APPROVED,Approved,2021-03-06,ws,661.0,True,inspection
2019028474,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",215343.9,2270.0,DONE,2019-05-15,2019-12-11,WSEXCUTCAP,WS Existing Service Cut and Capped,,Not Applicable,2021-03-06,ws,661.0,True,inspection
2019028474,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",215343.9,2270.0,DONE,2019-05-15,2019-12-11,WSUSWRAVL,U&O Sewer Availability Final Approval,APPROVED,Approved,2021-03-06,ws,661.0,True,inspection
2019028474,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",215343.9,2270.0,DONE,2019-05-15,2019-12-11,WSEXCUTCAP,WS Existing Service Cut and Capped,,Not Applicable,2021-03-06,ws,661.0,True,inspection
2019028474,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",215343.9,2270.0,DONE,2019-05-15,2019-12-11,WSUXCON,U&O Cross Connect Final Approval,IGNORE,No sign-off needed on this project,2021-03-26,ws,681.0,True,inspection
2019075417,CARN,Building Residential - New,CAA01R301,Single Family Residence,289370.16,3312.0,DONE,2019-12-10,2019-12-11,WSEXCUTCAP,WS Existing Service Cut and Capped,,Not Applicable,2020-05-27,ws,169.0,True,inspection
2019075417,CARN,Building Residential - New,CAA01R301,Single Family Residence,289370.16,3312.0,DONE,2019-12-10,2019-12-11,WSUWTRAVL,U&O Water Availability Final Approval,APPROVED,Approved,2020-05-27,ws,169.0,True,inspection
2019075417,CARN,Building Residential - New,CAA01R301,Single Family Residence,289370.16,3312.0,DONE,2019-12-10,2019-12-11,WSEXCUTCAP,WS Existing Service Cut and Capped,,Not Applicable,2020-05-27,ws,169.0,True,inspection
2019075417,CARN,Building Residential - New,CAA01R301,Single Family Residence,289370.16,3312.0,DONE,2019-12-10,2019-12-11,WSUSWRAVL,U&O Sewer Availability Final Approval,APPROVED,Approved,2020-05-27,ws,169.0,True,inspection
2019075426,CARN,Building Residential - New,CAA01R301,Single Family Residence,289370.16,3312.0,DONE,2019-12-10,2019-12-11,WSUSWRAVL,U&O Sewer Availability Final Approval,APPROVED,Approved,2020-05-27,ws,169.0,True,inspection
2019075426,CARN,Building Residential - New,CAA01R301,Single Family Residence,289370.16,3312.0,DONE,2019-12-10,2019-12-11,WSUWTRAVL,U&O Water Availability Final Approval,APPROVED,Approved,2020-05-27,ws,169.0,True,inspection
2019075426,CARN,Building Residential - New,CAA01R301,Single Family Residence,289370.16,3312.0,DONE,2019-12-10,2019-12-11,WSEXCUTCAP,WS Existing Service Cut and Capped,,Not Applicable,2020-05-27,ws,169.0,True,inspection
2019075426,CARN,Building Residential - New,CAA01R301,Single Family Residence,289370.16,3312.0,DONE,2019-12-10,2019-12-11,WSEXCUTCAP,WS Existing Service Cut and Capped,,Not Applicable,2020-05-27,ws,169.0,True,inspection
2019075335,CARN,Building Residential - New,CAA01R301,Single Family Residence,228459.02,2290.0,DONE,2019-12-10,2019-12-11,WSEXCUTCAP,WS Existing Service Cut and Capped,,Not Applicable,2020-06-19,ws,192.0,True,inspection
2019075335,CARN,Building Residential - New,CAA01R301,Single Family Residence,228459.02,2290.0,DONE,2019-12-10,2019-12-11,WSUSWRAVL,U&O Sewer Availability Final Approval,APPROVED,Approved,2020-06-19,ws,192.0,True,inspection
2019075335,CARN,Building Residential - New,CAA01R301,Single Family Residence,228459.02,2290.0,DONE,2019-12-10,2019-12-11,WSEXCUTCAP,WS Existing Service Cut and Capped,,Not Applicable,2020-06-19,ws,192.0,True,inspection
2019075335,CARN,Building Residential - New,CAA01R301,Single Family Residence,228459.02,2290.0,DONE,2019-12-10,2019-12-11,WSUWTRAVL,U&O Water Availability Final Approval,APPROVED,Approved,2020-06-19,ws,192.0,True,inspection
2019075346,CARN,Building Residential - New,CAA01R301,Single Family Residence,221587.37,2229.0,DONE,2019-12-10,2019-12-11,WSUSWRAVL,U&O Sewer Availability Final Approval,APPROVED,Approved,2020-07-02,ws,205.0,True,inspection
2019075346,CARN,Building Residential - New,CAA01R301,Single Family Residence,221587.37,2229.0,DONE,2019-12-10,2019-12-11,WSEXCUTCAP,WS Existing Service Cut and Capped,,Not Applicable,2020-07-02,ws,205.0,True,inspection
2019075346,CARN,Building Residential - New,CAA01R301,Single Family Residence,221587.37,2229.0,DONE,2019-12-10,2019-12-11,WSUWTRAVL,U&O Water Availability Final Approval,APPROVED,Approved,2020-07-02,ws,205.0,True,inspection
2019075346,CARN,Building Residential - New,CAA01R301,Single Family Residence,221587.37,2229.0,DONE,2019-12-10,2019-12-11,WSEXCUTCAP,WS Existing Service Cut and Capped,,Not Applicable,2020-07-02,ws,205.0,True,inspection
2019074646,CARN,Building Residential - New,CAA01R301,Single Family Residence,138538.0,1260.0,DONE,2019-12-06,2019-12-11,WSUSWRAVL,U&O Sewer Availability Final Approval,APPROVED,Approved,2020-04-02,ws,118.0,True,inspection
2019074646,CARN,Building Residential - New,CAA01R301,Single Family Residence,138538.0,1260.0,DONE,2019-12-06,2019-12-11,WSEXCUTCAP,WS Existing Service Cut and Capped,,Not Applicable,2020-04-02,ws,118.0,True,inspection
2019074646,CARN,Building Residential - New,CAA01R301,Single Family Residence,138538.0,1260.0,DONE,2019-12-06,2019-12-11,WSUWTRAVL,U&O Water Availability Final Approval,APPROVED,Approved,2020-04-02,ws,118.0,True,inspection
2019074646,CARN,Building Residential - New,CAA01R301,Single Family Residence,138538.0,1260.0,DONE,2019-12-06,2019-12-11,WSEXCUTCAP,WS Existing Service Cut and Capped,,Not Applicable,2020-04-02,ws,118.0,True,inspection
2019074652,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",139664.5,1270.0,DONE,2019-12-06,2019-12-11,WSUSWRAVL,U&O Sewer Availability Final Approval,APPROVED,Approved,2020-04-02,ws,118.0,True,inspection
2019074652,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",139664.5,1270.0,DONE,2019-12-06,2019-12-11,WSEXCUTCAP,WS Existing Service Cut and Capped,,Not Applicable,2020-04-02,ws,118.0,True,inspection
2019074652,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",139664.5,1270.0,DONE,2019-12-06,2019-12-11,WSUWTRAVL,U&O Water Availability Final Approval,APPROVED,Approved,2020-04-02,ws,118.0,True,inspection
2019074652,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",139664.5,1270.0,DONE,2019-12-06,2019-12-11,WSEXCUTCAP,WS Existing Service Cut and Capped,,Not Applicable,2020-04-02,ws,118.0,True,inspection
2019074657,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",139664.5,1270.0,DONE,2019-12-06,2019-12-11,WSUSWRAVL,U&O Sewer Availability Final Approval,APPROVED,Approved,2020-04-02,ws,118.0,True,inspection
2019074657,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",139664.5,1270.0,DONE,2019-12-06,2019-12-11,WSEXCUTCAP,WS Existing Service Cut and Capped,,Not Applicable,2020-04-02,ws,118.0,True,inspection
